,RaR0,RaR1,RaR2,wRaR0,wRaR1,wRaR2
1,0.5762110581740544,0.0,0.5773069187802478,0.5203128066212692,0.0,0.5468318066737934
2,0.6039240837612225,0.0,0.598804534567029,0.5721470821095129,0.0,0.5564984539956319
3,0.6187413248760943,0.0,0.613227742947444,0.5909217273127316,0.0,0.581209128462711
4,0.6221916465652412,0.0,0.6215441004898914,0.6025692361131026,0.0,0.5969230043091922
5,0.6401114818245224,0.0,0.6381791020481411,0.6079160545164217,0.0,0.6065099736442894
6,0.6479489986402661,0.0,0.6483236704098438,0.6138243954737905,0.0,0.6110399309996126
7,0.6557837426268351,0.0,0.6561784685745972,0.6149127702463026,0.0,0.615611167362818
8,0.6632855765209855,0.0,0.6653896493804903,0.6183566124247722,0.0,0.6207741149054298
9,0.6649725643112158,0.0,0.6684332500425022,0.6232026639358955,0.0,0.6287574080793327
10,0.6758290679485854,0.0,0.676465624965102,0.6252881746779752,0.0,0.632793026964465
11,0.679137818860255,0.0,0.6819758799133894,0.6304494700190069,0.0,0.6319973229340837
12,0.6812717397340144,0.0,0.6837857107519565,0.6357879414945933,0.0,0.6369578134659586
13,0.6880209441138851,0.0,0.6891535017012996,0.6360880113515677,0.0,0.6360463802910067
14,0.6919903649893221,0.0,0.6944594718624558,0.6354074565324914,0.0,0.6379632014264665
15,0.7001928411521995,0.0,0.701945458203136,0.6412032757622365,0.0,0.6411149985940652
16,0.702329170237608,0.0,0.7021355563370814,0.6476557964465295,0.0,0.6488963269741564
17,0.7062253891642809,0.0,0.7089360507253296,0.6514409865532675,0.0,0.6524454594641765
18,0.7099223544354644,0.0,0.7112977924806092,0.6568843126560555,0.0,0.6586897111810531
19,0.7164450055771966,0.0,0.7166611480847115,0.6587857916882851,0.0,0.658607054293349
20,0.7153432307741296,0.0,0.7153672768039258,0.6619985380123038,0.0,0.6628617985669762
21,0.7199363356979828,0.0,0.7209290583537117,0.6595687911301334,0.0,0.6626426206008693
22,0.7233719641270429,0.0,0.7233849195065067,0.6627575192931856,0.0,0.6655487106661371
23,0.7240315217588227,0.0,0.7241092260239907,0.6641510732159385,0.0,0.6668121283299533
24,0.7284535289637086,0.0,0.7271422827483648,0.6705997677747743,0.0,0.672270321182126
25,0.7269928008579094,0.0,0.726023331197596,0.6711593885076453,0.0,0.6735480767457338
26,0.7291559228603631,0.0,0.7283083949097521,0.6763346424683092,0.0,0.6768371686480624
27,0.7304592016393091,0.0,0.7300306137919843,0.6795958570460903,0.0,0.6796462730146694
28,0.732966264875789,0.0,0.7333621995682534,0.6819664379565933,0.0,0.6803069899204547
29,0.7325537184024696,0.0,0.7334089165933416,0.6822382228796677,0.0,0.6820339835045425
30,0.7358252440477182,0.0,0.7369598703058816,0.6885282348402567,0.0,0.6883150130455984
31,0.737586959642309,0.0,0.7368959679591881,0.6964257976717555,0.0,0.6942235219562312
32,0.7393240200538899,0.0,0.7387925120500676,0.6950634910491217,0.0,0.6931653194698674
33,0.7404628314735949,0.0,0.739840442322546,0.6964935217062157,0.0,0.6943481312421171
34,0.7415806501920187,0.0,0.7426389705130605,0.6980718890690797,0.0,0.6955629583396779
35,0.7423617794151187,0.0,0.742210678846928,0.6985217743582227,0.0,0.6969273012043212
36,0.7412640894135853,0.0,0.7402931493088041,0.6956804406685965,0.0,0.6967690463716433
37,0.7465480611734898,0.0,0.7449543794885163,0.6979479245149207,0.0,0.6979805537346351
38,0.747453643759726,0.0,0.7467065980015135,0.7029448016272555,0.0,0.7031051663961343
39,0.7476456522255001,0.0,0.7482585512851128,0.7038934244862112,0.0,0.7049371005552758
40,0.7487137107530083,0.0,0.7474421312460026,0.7076049449349321,0.0,0.7090603665733869
41,0.7498472100624429,0.0,0.7485953366684306,0.7080898608660099,0.0,0.7079619144477227
42,0.7516797436103537,0.0,0.7501734712902122,0.7118977692273956,0.0,0.7117607447089038
43,0.7514038953365969,0.0,0.7497909823443272,0.7111439090090451,0.0,0.7108194522663869
44,0.7529799381789399,0.0,0.7509423490968073,0.709707259178297,0.0,0.7096415426779916
45,0.7557136708656744,0.0,0.7542607196001917,0.7110907128629858,0.0,0.7112119212630128
46,0.754473599867846,0.0,0.7540328906434247,0.7110912175173375,0.0,0.7114748284447897
47,0.7546219972112633,0.0,0.7545640102176576,0.7114368475103328,0.0,0.7121331473499798
48,0.7551111701915182,0.0,0.7547351721652703,0.7136480661119518,0.0,0.7153115487925465
49,0.7549071847089569,0.0,0.7553046161002694,0.7161451602177666,0.0,0.7168635228022701
50,0.7552870606339838,0.0,0.7532512070437065,0.7239534853116449,0.0,0.7259530994695408
